task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,acc_route,w_graph_route,w_order_route,w_key_route,acc_order,w_graph_order,w_order_order,w_key_order,acc_kv,w_graph_kv,w_order_kv,w_key_kv,acc_program,w_graph_program,w_order_program,w_key_program,w_graph,w_order,w_key,router_entropy,order_abs,key_entropy
mixed,graph,1,0.915354311466217,0.915354311466217,0.0,0.0,0.794232502579689,0.51953125,0.51953125,1,22275,13.438570976257324,0.9947507381439209,0.1857638955116272,0.5489106178283691,0.49609375,0.0,0.0,0.0,0.515625,0.0,0.0,0.0,0.515625,0.0,0.0,0.0,0.55078125,0.0,0.0,0.0,,,,,,
mixed,graph,40,0.692108154296875,0.692108154296875,0.0,0.0,0.6954219341278076,0.4814453125,0.51953125,1,22275,0.4229359030723572,10.78948163986206,0.1857638955116272,0.5489041209220886,0.48828125,0.0,0.0,0.0,0.4765625,0.0,0.0,0.0,0.45703125,0.0,0.0,0.0,0.50390625,0.0,0.0,0.0,,,,,,
mixed,graph,80,0.6721954941749573,0.6721954941749573,0.0,0.0,0.7065581828355789,0.4931640625,0.51953125,1,22275,0.5369487404823303,20.632097005844116,0.1857638955116272,0.5488201379776001,0.46484375,0.0,0.0,0.0,0.49609375,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.48046875,0.0,0.0,0.0,,,,,,
mixed,graph,120,0.7033180594444275,0.7033180594444275,0.0,0.0,0.5972534269094467,0.640625,0.640625,120,22275,8.75544548034668,30.56452441215515,0.1857638955116272,0.5485188961029053,0.7265625,0.0,0.0,0.0,0.5078125,0.0,0.0,0.0,0.66015625,0.0,0.0,0.0,0.66796875,0.0,0.0,0.0,,,,,,
mixed,graph,160,0.5150282382965088,0.5150282382965088,0.0,0.0,0.5632687211036682,0.6376953125,0.640625,120,22275,0.31267696619033813,40.71017599105835,0.1857638955116272,0.5483359098434448,0.7265625,0.0,0.0,0.0,0.46484375,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,0.640625,0.0,0.0,0.0,,,,,,
mixed,graph,200,0.5258368253707886,0.5258368253707886,0.0,0.0,0.5480444133281708,0.6845703125,0.6845703125,200,22275,2.115994930267334,50.81316351890564,0.1857638955116272,0.5482972860336304,0.83984375,0.0,0.0,0.0,0.47265625,0.0,0.0,0.0,0.7109375,0.0,0.0,0.0,0.71484375,0.0,0.0,0.0,,,,,,
mixed,graph,240,0.5298805832862854,0.5298805832862854,0.0,0.0,0.5181499272584915,0.69921875,0.69921875,240,22275,1.1602247953414917,60.95211338996887,0.1857638955116272,0.5482637882232666,0.89453125,0.0,0.0,0.0,0.484375,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.73046875,0.0,0.0,0.0,,,,,,
mixed,always_typed,1,0.7212710380554199,0.7212710380554199,0.0,0.0,0.7441542595624924,0.5205078125,0.5205078125,1,57066,2.0972862243652344,0.639502763748169,,,0.51953125,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.48828125,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.515625,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.55859375,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.3337774872779846,0.33377745747566223,0.33244505524635315,1.0,,
mixed,always_typed,40,0.3777144253253937,0.3777144253253937,0.0,0.0,0.3363012224435806,0.859375,0.859375,40,57066,0.40623030066490173,10.670862913131714,,,0.9453125,0.3099972605705261,0.3437976539134979,0.34620508551597595,0.96875,0.3099972605705261,0.3437976539134979,0.34620508551597595,0.81640625,0.3099972605705261,0.3437976539134979,0.34620508551597595,0.70703125,0.3099972605705261,0.3437976539134979,0.34620508551597595,0.3099972903728485,0.34379762411117554,0.34620505571365356,1.0,,
mixed,always_typed,80,0.22141945362091064,0.22141945362091064,0.0,0.0,0.20762745290994644,0.9130859375,0.9130859375,80,57066,0.2735421657562256,21.172510147094727,,,0.99609375,0.2912557125091553,0.3532714545726776,0.3554728925228119,0.98046875,0.2912557125091553,0.3532714545726776,0.3554728925228119,0.89453125,0.2912557125091553,0.3532714545726776,0.3554728925228119,0.78125,0.2912557125091553,0.3532714545726776,0.3554728925228119,0.2912557125091553,0.3532714545726776,0.3554728627204895,1.0,,
mixed,always_typed,120,0.12537001073360443,0.12537001073360443,0.0,0.0,0.12438370287418365,0.9599609375,0.9599609375,120,57066,0.23542366921901703,31.01818013191223,,,0.99609375,0.27612119913101196,0.3602137267589569,0.36366507411003113,1.0,0.27612119913101196,0.3602137267589569,0.36366507411003113,0.98828125,0.27612119913101196,0.3602137267589569,0.36366507411003113,0.85546875,0.27612119913101196,0.3602137267589569,0.36366507411003113,0.27612125873565674,0.36021366715431213,0.36366507411003113,1.0,,
mixed,always_typed,160,0.11981535702943802,0.11981535702943802,0.0,0.0,0.13326470740139484,0.9404296875,0.9599609375,120,57066,0.30984264612197876,40.74054408073425,,,1.0,0.26738762855529785,0.36800387501716614,0.36460843682289124,0.99609375,0.26738762855529785,0.36800387501716614,0.36460843682289124,0.99609375,0.26738762855529785,0.36800387501716614,0.36460843682289124,0.76953125,0.26738762855529785,0.36800387501716614,0.36460843682289124,0.26738762855529785,0.3680039048194885,0.364608496427536,1.0,,
mixed,always_typed,200,0.06372038275003433,0.06372038275003433,0.0,0.0,0.11188423819839954,0.951171875,0.9599609375,120,57066,0.18387848138809204,50.58233332633972,,,1.0,0.2623191177845001,0.3691911995410919,0.3684895932674408,1.0,0.2623191177845001,0.3691911995410919,0.3684895932674408,0.9921875,0.2623191177845001,0.3691911995410919,0.3684895932674408,0.8125,0.2623191177845001,0.3691911995410919,0.3684895932674408,0.2623191475868225,0.3691912591457367,0.3684895634651184,1.0,,
mixed,always_typed,240,0.11366778612136841,0.11366778612136841,0.0,0.0,0.11117357015609741,0.9501953125,0.9599609375,120,57066,0.3252665400505066,60.53310251235962,,,1.0,0.2568487823009491,0.37049007415771484,0.37266114354133606,1.0,0.2568487823009491,0.37049007415771484,0.37266114354133606,1.0,0.2568487823009491,0.37049007415771484,0.37266114354133606,0.80078125,0.2568487823009491,0.37049007415771484,0.37266114354133606,0.2568487823009491,0.37049007415771484,0.37266117334365845,1.0,,
mixed,cost_router,1,0.7216333150863647,0.7055379748344421,0.308951199054718,0.9916296005249023,0.7079808413982391,0.505859375,0.505859375,1,61322,1.282909870147705,0.5884082317352295,,,0.50390625,0.2766321301460266,0.2807266414165497,0.4426411986351013,0.4921875,0.2720276713371277,0.3114139437675476,0.4165583848953247,0.5390625,0.2999204993247986,0.34585535526275635,0.35422414541244507,0.48828125,0.35411861538887024,0.3469959795475006,0.29888543486595154,0.3019882142543793,0.32016196846961975,0.377849817276001,0.9881108999252319,0.3228659927845001,0.9999889135360718
mixed,cost_router,40,0.31618812680244446,0.30256587266921997,0.4195314347743988,0.5231622457504272,0.32956312596797943,0.837890625,0.837890625,40,61322,0.25341907143592834,10.393401861190796,,,0.96875,0.03303788974881172,0.3313210606575012,0.6356410980224609,0.97265625,0.0194755457341671,0.9401549696922302,0.040369436144828796,0.765625,0.050019994378089905,0.13621358573436737,0.8137664198875427,0.64453125,0.04596000909805298,0.15292340517044067,0.8011165857315063,0.03705042973160744,0.3898114562034607,0.5731381177902222,0.5038505792617798,0.31990715861320496,0.999942421913147
mixed,cost_router,80,0.24671734869480133,0.2337058037519455,0.43075665831565857,0.4396413266658783,0.2204982228577137,0.88671875,0.88671875,80,61322,0.39831775426864624,20.50268244743347,,,0.99609375,0.006781711708754301,0.30795466899871826,0.6852635741233826,0.9921875,0.0050434535369277,0.9750328660011292,0.019923632964491844,0.8203125,0.024233780801296234,0.24512669444084167,0.7306395173072815,0.73828125,0.031671229749917984,0.16652172803878784,0.8018070459365845,0.01698584109544754,0.41633668541908264,0.566677451133728,0.4276394546031952,0.31879085302352905,0.9996766448020935
mixed,cost_router,120,0.1775323450565338,0.16404558718204498,0.45531249046325684,0.4380508065223694,0.1452433094382286,0.93359375,0.93359375,120,61322,0.514872670173645,30.31526517868042,,,0.99609375,0.0024928543716669083,0.5053383111953735,0.4921689033508301,1.0,0.0017133589135482907,0.9906286001205444,0.007658012676984072,0.94921875,0.008918916806578636,0.354097843170166,0.6369832158088684,0.7890625,0.01811402477324009,0.3351244330406189,0.6467615365982056,0.007772339042276144,0.5402058959007263,0.4520217776298523,0.4308345317840576,0.32499855756759644,0.9986222386360168
mixed,cost_router,160,0.15920501947402954,0.14595136046409607,0.4456593990325928,0.43404680490493774,0.1389093343168497,0.9423828125,0.9423828125,160,61322,0.3088284134864807,40.25102233886719,,,1.0,0.0018607386155053973,0.4569038152694702,0.5412354469299316,1.0,0.0016290140338242054,0.9919102787971497,0.006460715085268021,1.0,0.008915646933019161,0.3549240529537201,0.6361603140830994,0.76953125,0.027521491050720215,0.3120672106742859,0.6604112982749939,0.010080747306346893,0.5292242765426636,0.46069493889808655,0.4441305696964264,0.3233165740966797,0.9976896047592163
mixed,cost_router,200,0.15109314024448395,0.1374351680278778,0.45325928926467896,0.4592795670032501,0.13321205973625183,0.9404296875,0.9423828125,160,61322,0.5220034718513489,50.16367554664612,,,1.0,0.0017085288418456912,0.3613435626029968,0.6369479298591614,0.99609375,0.001595319714397192,0.9944781064987183,0.0039264606311917305,1.0,0.011969346553087234,0.3309214115142822,0.657109260559082,0.765625,0.06411906331777573,0.4471396207809448,0.48874133825302124,0.019875330850481987,0.5472158789634705,0.432908833026886,0.46932274103164673,0.31888312101364136,0.99711012840271
mixed,cost_router,240,0.09378763288259506,0.08013751357793808,0.4540887773036957,0.4568347632884979,0.10306809097528458,0.9541015625,0.9541015625,240,61322,0.21388907730579376,60.171074867248535,,,1.0,0.001309070154093206,0.39138293266296387,0.607308030128479,1.0,0.001477140816859901,0.9947314262390137,0.0037914367858320475,1.0,0.008647910319268703,0.2531311511993408,0.7382209897041321,0.81640625,0.06987264752388,0.4726942777633667,0.4574330449104309,0.020559150725603104,0.5347630977630615,0.44467777013778687,0.4425239562988281,0.3177896738052368,0.9963513612747192
mixed,cost_router_hard,1,0.7042791843414307,0.6951541900634766,0.45625004172325134,4.422549793048347e-08,0.7329913824796677,0.513671875,0.513671875,1,61322,0.3558489978313446,0.6364176273345947,,,0.5234375,0.345839262008667,0.3515281081199646,0.302632600069046,0.515625,0.32542043924331665,0.4193384349346161,0.25524115562438965,0.5234375,0.3650038540363312,0.3759264647960663,0.2590697407722473,0.4921875,0.4081583619117737,0.37330472469329834,0.21853691339492798,0.3592471480369568,0.3809354901313782,0.25981736183166504,0.983605146408081,0.3189798593521118,0.9999856948852539
mixed,cost_router_hard,40,0.43062156438827515,0.4222257435321808,0.41979166865348816,4.676867249031602e-08,0.4671976789832115,0.80078125,0.80078125,40,61322,0.3019692599773407,10.830824375152588,,,0.76953125,0.13401776552200317,0.19136859476566315,0.6746136546134949,0.96875,0.07600213587284088,0.7457109689712524,0.17828689515590668,0.73046875,0.2432151436805725,0.3342500329017639,0.4225348234176636,0.734375,0.18574246764183044,0.39071592688560486,0.4235415756702423,0.15724265575408936,0.41302984952926636,0.4297275245189667,0.8304842710494995,0.3262370824813843,0.9999470710754395
mixed,cost_router_hard,80,0.3360625207424164,0.32752084732055664,0.4270833432674408,4.9594422790733006e-08,0.3182404786348343,0.8583984375,0.8583984375,80,61322,0.28133922815322876,21.255892992019653,,,0.9375,0.020537689328193665,0.28531181812286377,0.694150447845459,0.98046875,0.004213960375636816,0.9611783027648926,0.03460776060819626,0.77734375,0.19205178320407867,0.21549680829048157,0.5924513936042786,0.73828125,0.10757570713758469,0.18794535100460052,0.704478919506073,0.08091991394758224,0.40269750356674194,0.5163825750350952,0.5027923583984375,0.32015281915664673,0.9997147917747498
mixed,cost_router_hard,120,0.20883429050445557,0.20033429563045502,0.42500001192092896,5.1007305046368856e-08,0.2033112831413746,0.912109375,0.912109375,120,61322,0.4205537736415863,31.371806621551514,,,1.0,0.006191592663526535,0.2335156947374344,0.7602927088737488,0.98828125,0.0019502046052366495,0.969840407371521,0.028209324926137924,0.921875,0.03699269890785217,0.19360706210136414,0.7694002389907837,0.73828125,0.0331607311964035,0.16298840939998627,0.8038508892059326,0.020262284204363823,0.3670932650566101,0.6126444935798645,0.33193618059158325,0.3238498568534851,0.9984654188156128
mixed,cost_router_hard,160,0.2072763592004776,0.19869302213191986,0.42916664481163025,5.326790386561697e-08,0.14974799752235413,0.9462890625,0.9462890625,160,61322,0.35236379504203796,41.49130177497864,,,1.0,0.005439653992652893,0.23536083102226257,0.7591995000839233,1.0,0.001694816048257053,0.9821255207061768,0.01617961935698986,0.99609375,0.019960109144449234,0.19521433115005493,0.7848255634307861,0.7890625,0.046766944229602814,0.1792183518409729,0.7740147113800049,0.018308520317077637,0.39601755142211914,0.5856738686561584,0.31064262986183167,0.3220721483230591,0.9961335062980652
mixed,cost_router_hard,200,0.11104866862297058,0.10244449973106384,0.43020832538604736,5.128987368152593e-08,0.14144115708768368,0.9443359375,0.9462890625,160,61322,0.13156981766223907,51.27384972572327,,,1.0,0.006522361189126968,0.22266855835914612,0.7708090543746948,1.0,0.003125773975625634,0.9823154807090759,0.014558728784322739,1.0,0.025868482887744904,0.14618897438049316,0.8279425501823425,0.77734375,0.22942772507667542,0.17744025588035583,0.5931320190429688,0.06492709368467331,0.3942473232746124,0.540825605392456,0.3873136639595032,0.32173025608062744,0.9942632913589478
mixed,cost_router_hard,240,0.14596940577030182,0.13730274140834808,0.4333333373069763,5.0159574271901874e-08,0.13278956525027752,0.9482421875,0.9482421875,240,61322,0.2032475620508194,60.964597940444946,,,0.99609375,0.005345791112631559,0.21872058510780334,0.7759336233139038,1.0,0.0029500413220375776,0.984770655632019,0.012279371730983257,1.0,0.018620871007442474,0.13364964723587036,0.8477294445037842,0.796875,0.31561630964279175,0.19206085801124573,0.4923228323459625,0.0816233828663826,0.37768709659576416,0.5406895279884338,0.3732997179031372,0.3220522403717041,0.9931678175926208
