task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,acc_program,w_graph_program,w_order_program,w_key_program,w_graph,w_order,w_key,router_entropy,order_abs,key_entropy
program,graph,1,0.9812446236610413,0.9812446236610413,0.0,0.0,0.8257264941930771,0.48828125,0.48828125,1,22275,15.701090812683105,0.9368448257446289,0.1857638955116272,0.5489104986190796,0.48828125,0.0,0.0,0.0,,,,,,
program,graph,40,0.6918131709098816,0.6918131709098816,0.0,0.0,0.6930066794157028,0.4990234375,0.4990234375,40,22275,0.04745612293481827,10.885133743286133,0.1857638955116272,0.5489027500152588,0.4990234375,0.0,0.0,0.0,,,,,,
program,graph,80,0.6647186875343323,0.6647186875343323,0.0,0.0,0.6562911868095398,0.5888671875,0.5888671875,80,22275,0.5054891705513,20.942004442214966,0.1857638955116272,0.5488039255142212,0.5888671875,0.0,0.0,0.0,,,,,,
program,graph,120,0.6392683386802673,0.6392683386802673,0.0,0.0,0.6587538868188858,0.5302734375,0.5888671875,80,22275,1.877926230430603,30.64953851699829,0.1857638955116272,0.5486211776733398,0.5302734375,0.0,0.0,0.0,,,,,,
program,graph,160,0.52714604139328,0.52714604139328,0.0,0.0,0.5972690880298615,0.6904296875,0.6904296875,160,22275,0.2656210958957672,40.110931158065796,0.1857638955116272,0.5484281182289124,0.6904296875,0.0,0.0,0.0,,,,,,
program,graph,200,0.5587574243545532,0.5587574243545532,0.0,0.0,0.5456099510192871,0.69140625,0.69140625,200,22275,2.6426985263824463,49.75039625167847,0.1857638955116272,0.548295259475708,0.69140625,0.0,0.0,0.0,,,,,,
program,graph,240,0.5706388354301453,0.5706388354301453,0.0,0.0,0.5372879579663277,0.703125,0.703125,240,22275,1.3868396282196045,59.3494770526886,0.1857638955116272,0.548227846622467,0.703125,0.0,0.0,0.0,,,,,,
program,always_typed,1,0.715413510799408,0.715413510799408,0.0,0.0,0.7809883505105972,0.490234375,0.490234375,1,57066,1.452086091041565,0.5264925956726074,,,0.490234375,0.3337774872779846,0.33377745747566223,0.33244505524635315,0.3337774872779846,0.33377745747566223,0.33244505524635315,1.0,,
program,always_typed,40,0.5206069350242615,0.5206069350242615,0.0,0.0,0.4928803890943527,0.767578125,0.767578125,40,57066,0.2525951564311981,9.818337678909302,,,0.767578125,0.31704384088516235,0.33171674609184265,0.3512394428253174,0.31704384088516235,0.33171674609184265,0.3512394428253174,1.0,,
program,always_typed,80,0.4337955713272095,0.4337955713272095,0.0,0.0,0.440934494137764,0.779296875,0.779296875,80,57066,0.4092385768890381,19.88981556892395,,,0.779296875,0.30916300415992737,0.33464762568473816,0.35618939995765686,0.30916300415992737,0.33464762568473816,0.35618939995765686,1.0,,
program,always_typed,120,0.39624932408332825,0.39624932408332825,0.0,0.0,0.35821691900491714,0.814453125,0.814453125,120,57066,1.1141904592514038,30.87741255760193,,,0.814453125,0.29541242122650146,0.3398894965648651,0.3646981120109558,0.29541242122650146,0.3398894965648651,0.3646981120109558,1.0,,
program,always_typed,160,0.3294064700603485,0.3294064700603485,0.0,0.0,0.3626994416117668,0.8330078125,0.8330078125,160,57066,0.39576730132102966,40.98006463050842,,,0.8330078125,0.2892637252807617,0.33922886848449707,0.3715074360370636,0.2892637252807617,0.33922886848449707,0.3715074360370636,1.0,,
program,always_typed,200,0.35879388451576233,0.35879388451576233,0.0,0.0,0.3900592029094696,0.7890625,0.8330078125,160,57066,0.4005505442619324,51.10601997375488,,,0.7890625,0.28221219778060913,0.3430041968822479,0.37478360533714294,0.28221219778060913,0.3430041968822479,0.37478360533714294,1.0,,
program,always_typed,240,0.37565240263938904,0.37565240263938904,0.0,0.0,0.35079874098300934,0.8076171875,0.8330078125,160,57066,0.48192790150642395,61.177414655685425,,,0.8076171875,0.2773076891899109,0.34231117367744446,0.38038116693496704,0.2773076891899109,0.34231117367744446,0.38038116693496704,1.0,,
program,cost_router,1,0.7544865608215332,0.7388195395469666,0.29111582040786743,0.9844749569892883,0.7352806031703949,0.5078125,0.5078125,1,61322,2.213621139526367,0.5821969509124756,,,0.5078125,0.3410712480545044,0.3639666438102722,0.2949621081352234,0.3412511944770813,0.3638833165168762,0.29486551880836487,0.995919406414032,0.4059756398200989,0.9999765753746033
program,cost_router,40,0.5436354875564575,0.536305844783783,0.3493971824645996,0.03417380899190903,0.5262520760297775,0.732421875,0.732421875,40,61322,0.3581346273422241,10.919528484344482,,,0.732421875,0.003239953890442848,0.0020093191415071487,0.9947506785392761,0.0032651862129569054,0.0020241616293787956,0.9947106838226318,0.03316550701856613,0.40736907720565796,0.999890923500061
program,cost_router,80,0.5150393843650818,0.5079252123832703,0.3498765826225281,0.011663665995001793,0.5347869843244553,0.71484375,0.732421875,40,61322,0.4096873104572296,21.631297826766968,,,0.71484375,0.000846863491460681,0.0006768514867872,0.9984763264656067,0.0008345413370989263,0.0006672815652564168,0.9984981417655945,0.011158415116369724,0.40840810537338257,0.9994208812713623
program,cost_router,120,0.5021772980690002,0.49511274695396423,0.3499574363231659,0.006537122186273336,0.49029796570539474,0.7724609375,0.7724609375,120,61322,0.20983058214187622,31.921109199523926,,,0.7724609375,0.0004095762560609728,0.00040355732198804617,0.9991868734359741,0.0004166018043179065,0.00041122600669041276,0.9991722106933594,0.006592258810997009,0.40475165843963623,0.9979120492935181
program,cost_router,160,0.4496424198150635,0.4425990879535675,0.3499809503555298,0.004372491035610437,0.49348700046539307,0.7529296875,0.7724609375,120,61322,0.12880228459835052,42.21605682373047,,,0.7529296875,0.00024248140107374638,0.00026925408747047186,0.9994882345199585,0.0002502219285815954,0.00027963623870164156,0.9994701147079468,0.004430537112057209,0.4053609371185303,0.9946845769882202
program,cost_router,200,0.4057592451572418,0.3987310826778412,0.34998905658721924,0.0028367021586745977,0.44366126507520676,0.7998046875,0.7998046875,200,61322,0.4171169102191925,52.40890026092529,,,0.7998046875,0.00014550099149346352,0.00016589487495366484,0.9996886253356934,0.00014471486792899668,0.0001650213380344212,0.9996902346611023,0.0027425154112279415,0.41072964668273926,0.9912521243095398
program,cost_router,240,0.40805983543395996,0.4010416269302368,0.34999319911003113,0.001834508148021996,0.38552869856357574,0.83203125,0.83203125,240,61322,0.14762336015701294,62.30816960334778,,,0.83203125,9.300652891397476e-05,0.00010587355063762516,0.9998011589050293,9.514033445157111e-05,0.00010752428352134302,0.9997973442077637,0.0018707329872995615,0.4060514271259308,0.9870380163192749
program,cost_router_hard,1,0.6940445303916931,0.6903882622718811,0.18281251192092896,4.3377774261443847e-08,0.8318664729595184,0.48828125,0.48828125,1,61322,0.9126464128494263,0.5997898578643799,,,0.48828125,0.4195731282234192,0.3553466200828552,0.2250802218914032,0.4199894964694977,0.3552379012107849,0.2247726023197174,0.9711579084396362,0.4087735414505005,0.9999635219573975
program,cost_router_hard,40,0.6026030778884888,0.5956030488014221,0.3499999940395355,5.128987368152593e-08,0.575249582529068,0.69140625,0.69140625,40,61322,0.19956794381141663,10.277126550674438,,,0.69140625,0.06937983632087708,0.22914499044418335,0.7014751434326172,0.06866791844367981,0.22811654210090637,0.7032155990600586,0.6974824070930481,0.40647637844085693,0.9999079704284668
program,cost_router_hard,80,0.5381070375442505,0.5311070084571838,0.3499999940395355,5.2137600903279235e-08,0.5329510718584061,0.7412109375,0.7412109375,80,61322,0.34992557764053345,20.778069734573364,,,0.7412109375,0.05653847008943558,0.19100096821784973,0.7524605989456177,0.0575825497508049,0.19271181523799896,0.7497056722640991,0.6283326148986816,0.40398937463760376,0.9995411038398743
program,cost_router_hard,120,0.4587409496307373,0.45174095034599304,0.3499999940395355,5.044215356519999e-08,0.4816848039627075,0.7724609375,0.7724609375,120,61322,0.2504929304122925,30.628437280654907,,,0.7724609375,0.019476082175970078,0.05680298060178757,0.9237209558486938,0.019272325560450554,0.05695214867591858,0.9237755537033081,0.2811056077480316,0.4090006351470947,0.9980781674385071
program,cost_router_hard,160,0.4434402585029602,0.43644025921821594,0.3499999940395355,5.044215001248631e-08,0.4560103192925453,0.7841796875,0.7841796875,160,61322,0.22234968841075897,40.55998253822327,,,0.7841796875,0.014573135413229465,0.0364462211728096,0.9489806890487671,0.014187690801918507,0.035673994570970535,0.9501383304595947,0.20400655269622803,0.4067706763744354,0.9952400922775269
program,cost_router_hard,200,0.3981865644454956,0.39118656516075134,0.3499999940395355,4.422549793048347e-08,0.4370870590209961,0.8115234375,0.8115234375,200,61322,0.3036227226257324,50.45767784118652,,,0.8115234375,0.019289080053567886,0.04805388301610947,0.9326570630073547,0.019355032593011856,0.047713346779346466,0.932931661605835,0.25573718547821045,0.41293102502822876,0.9924458265304565
program,cost_router_hard,240,0.4024064838886261,0.39540648460388184,0.3499999940395355,5.1572452974824046e-08,0.4164727181196213,0.8134765625,0.8134765625,240,61322,0.16464954614639282,60.74592041969299,,,0.8134765625,0.008150983601808548,0.020412420853972435,0.971436619758606,0.008161881938576698,0.02027924545109272,0.9715589284896851,0.1310616135597229,0.40786606073379517,0.988770604133606
